ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
8385,Aleksandr Georgiyevich Baryshnikov,M,31.0,198.0,130.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Shot Put,Silver
8752,Dieter Baumann,M,23.0,178.0,62.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",Silver
8789,Frank Baumgartl,M,21.0,176.0,61.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
8794,Hans-Peter Baumgartner,M,23.0,190.0,71.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,Silver
8828,Daniel Bautista Rocha,M,23.0,170.0,,Mexico,MEX,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 20 kilometres Walk,Gold
8900,Filbert Bayi Sanka,M,27.0,183.0,59.0,Tanzania,TAN,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
9026,"Robert ""Bob"" Beamon",M,22.0,191.0,70.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,Gold
9185,Volker Beck,M,24.0,191.0,82.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,Gold
9185,Volker Beck,M,24.0,191.0,82.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
9210,Marion Becker (Steiner-),F,26.0,167.0,63.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's Javelin Throw,Silver
9343,Klaus Beer,M,25.0,176.0,74.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,Silver
9406,Anke Behmer (Vater-),F,27.0,174.0,62.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,Bronze
9422,Kerstin Behrendt,F,21.0,177.0,64.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
9634,Earl Holmes Bell,M,28.0,191.0,77.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Pole Vault,Bronze
9737,"Alessandro ""Sandro"" Bellucci",M,29.0,170.0,56.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 50 kilometres Walk,Bronze
9998,Kurt Bendlin,M,25.0,178.0,91.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,Bronze
10188,Todd Anthony Bennett,M,22.0,170.0,64.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
10198,Joan Benoit (-Samuelson),F,27.0,157.0,46.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Marathon,Gold
10689,Kent Bede Bernard,M,22.0,185.0,77.0,Trinidad and Tobago,TTO,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
10907,Gilles Bertould,M,23.0,176.0,63.0,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
10966,Nadezhda Viktorovna Besfamilnaya,F,25.0,166.0,55.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
10973,Doina Ofelia Beliu-Melinte,F,,171.0,,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,Gold
10973,Doina Ofelia Beliu-Melinte,F,27.0,171.0,59.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 1,500 metres",Silver
10996,Colette Besson (-Nogus),F,22.0,169.0,58.0,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 400 metres,Gold
11143,Udo Beyer,M,20.0,195.0,135.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Shot Put,Gold
11143,Udo Beyer,M,24.0,195.0,135.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Shot Put,Bronze
11145,Uwe Beyer,M,19.0,191.0,108.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Hammer Throw,Bronze
11380,Ivan Pavlovych Bieliaiev,M,29.0,178.0,67.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
11437,"Mary Denise Bignal-Rand (-Toomey, -Reese)",F,24.0,173.0,61.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
11437,"Mary Denise Bignal-Rand (-Toomey, -Reese)",F,24.0,173.0,61.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Long Jump,Gold
11437,"Mary Denise Bignal-Rand (-Toomey, -Reese)",F,24.0,173.0,61.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Pentathlon,Silver
11467,Abebe Bikila,M,32.0,177.0,57.0,Ethiopia,ETH,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Marathon,Gold
11864,Amos Kipwabok Biwott,M,21.0,181.0,66.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
11983,"Lawrence Jeffery ""Larry"" Black",M,21.0,186.0,80.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,Silver
11983,"Lawrence Jeffery ""Larry"" Black",M,21.0,186.0,80.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
11986,Marilyn Mary Black (-Vassella),F,20.0,165.0,55.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 200 metres,Bronze
12039,Yordanka Blagoeva Ivanova,F,25.0,175.0,64.0,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's High Jump,Silver
12039,Yordanka Blagoeva Ivanova,F,29.0,175.0,64.0,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's High Jump,Bronze
12442,Lillian Barbara Board,F,19.0,168.0,60.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 400 metres,Silver
12534,Nataliya Valeryevna Bochina,F,18.0,173.0,55.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,Silver
12534,Nataliya Valeryevna Bochina,F,18.0,173.0,55.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
12583,Inge Bdding (Eckhoff-),F,25.0,154.0,48.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
12600,Carla Bodendorf (Rietig-),F,22.0,164.0,58.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
12629,Christine Bodner-Laser,F,25.0,179.0,68.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's Pentathlon,Silver
12882,"Michael Kipsubut ""Mike"" Boit",M,23.0,180.0,68.0,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,Bronze
12941,Jeanette Bolden,F,24.0,174.0,65.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
13071,Naftali Bon,M,23.0,177.0,61.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
13127,Anatoliy Pavlovych Bondarchuk,M,32.0,183.0,113.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Hammer Throw,Gold
13127,Anatoliy Pavlovych Bondarchuk,M,36.0,183.0,113.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Hammer Throw,Bronze
13135,Olga Petrovna Bondarenko (Krentser-),F,28.0,154.0,42.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 10,000 metres",Gold
13428,Gelindo Bordin,M,29.0,180.0,68.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,Gold
13691,Valeriy Pylypovych Borzov,M,22.0,183.0,80.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,Gold
13691,Valeriy Pylypovych Borzov,M,22.0,183.0,80.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,Gold
13691,Valeriy Pylypovych Borzov,M,22.0,183.0,80.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
13691,Valeriy Pylypovych Borzov,M,26.0,183.0,80.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,Bronze
13691,Valeriy Pylypovych Borzov,M,26.0,183.0,80.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
13797,Ralph Harold Boston,M,25.0,187.0,74.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,Silver
13797,Ralph Harold Boston,M,29.0,187.0,74.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,Bronze
14172,Moulay Brahim Boutayeb,M,21.0,171.0,60.0,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",Gold
14302,Renate Boy-Garisch-Culmberger,F,25.0,175.0,98.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Shot Put,Silver
14374,Raelene Ann Boyle,F,17.0,168.0,57.0,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 200 metres,Silver
14374,Raelene Ann Boyle,F,21.0,168.0,57.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 100 metres,Silver
14374,Raelene Ann Boyle,F,21.0,168.0,57.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 200 metres,Silver
14548,Lyudmila Ivanovna Bragina,F,29.0,165.0,57.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Women's 1,500 metres",Gold
14889,Christina Brehmer-Lathan,F,18.0,169.0,57.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 400 metres,Silver
14889,Christina Brehmer-Lathan,F,18.0,169.0,57.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
14889,Christina Brehmer-Lathan,F,22.0,169.0,57.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 400 metres,Bronze
14889,Christina Brehmer-Lathan,F,22.0,169.0,57.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
14990,Grit Breuer (-Springstein),F,16.0,168.0,63.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
15075,Hartmut Briesenick,M,23.0,191.0,116.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Shot Put,Bronze
15097,Robbie Ian Brightwell,M,24.0,188.0,81.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
15151,Valerie Ann Brisco-Hooks,F,,,62.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 200 metres,Gold
15151,Valerie Ann Brisco-Hooks,F,24.0,170.0,62.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 400 metres,Gold
15151,Valerie Ann Brisco-Hooks,F,24.0,170.0,62.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
15151,Valerie Ann Brisco-Hooks,F,28.0,170.0,62.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
15463,Alice Regina Brown (-Harris),F,23.0,159.0,59.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,Silver
15463,Alice Regina Brown (-Harris),F,23.0,159.0,59.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
15463,Alice Regina Brown (-Harris),F,27.0,159.0,59.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
15473,"Benjamin Gene ""Benny"" Brown",M,22.0,180.0,74.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
15546,"Judith Lynne ""Judi"" Brown (-King, -Clarke)",F,23.0,180.0,67.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 400 metres Hurdles,Silver
15571,"Philip Andrew ""Phil"" Brown",M,22.0,180.0,73.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
15580,"Ronald James ""Ron"" Brown",M,23.0,180.0,84.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
15669,"Bjrn Richard ""Ricky"" Bruch",M,26.0,198.0,140.0,Sweden,SWE,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Discus Throw,Bronze
15730,Valery Nikolayevich Brumel,M,22.0,185.0,79.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's High Jump,Gold
15896,Rosalyn Evette Bryant (-Clark),F,20.0,165.0,57.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
15907,Arto Kalervo Bryggare,M,26.0,194.0,88.0,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,Bronze
15930,Viktor Arkadiyovych Bryzhin,M,26.0,181.0,79.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
15931,Olha Arkadivna Bryzhina (Vladykina-),F,25.0,171.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres,Gold
15931,Olha Arkadivna Bryzhina (Vladykina-),F,25.0,171.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
15975,"Serhiy Nazarovych ""Sergey"" Bubka",M,24.0,183.0,80.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Pole Vault,Gold
16188,Valeria Bufanu-tefnescu,F,25.0,170.0,60.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 100 metres Hurdles,Silver
16209,Imrich Bugr,M,25.0,196.0,120.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Discus Throw,Silver
16298,Galina Petrovna Bukharina,F,23.0,156.0,51.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
16437,Elliot John Bunney,M,21.0,183.0,85.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
16462,Viktor Volodymyrovych Burakov,M,25.0,182.0,73.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
16677,Howard McNeal Burnett,M,27.0,193.0,72.0,Jamaica,JAM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
16807,Sabine Busch (-Ascui),F,25.0,177.0,66.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
16845,"Gabriele ""Gaby"" Bumann",F,24.0,170.0,57.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
16973,James Aaron Butts,M,26.0,188.0,82.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Triple Jump,Silver
17067,Tamara Vladimirovna Bykova,F,29.0,179.0,62.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's High Jump,Bronze
17105,Galina Petrovna Bystrova (Dolzhenkova-),F,30.0,170.0,65.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Pentathlon,Bronze
17324,Maureen Caird (-Jones),F,17.0,165.0,52.0,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,Gold
17476,Clarence H. Callender,M,26.0,179.0,75.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
17618,"Bertland ""Bert"" Cameron",M,28.0,188.0,79.0,Jamaica,JAM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
17750,"Anthony Eugene ""Tonie"" Campbell",M,28.0,188.0,77.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,Bronze
17976,Ernesto Canto Gudio,M,24.0,170.0,60.0,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 20 kilometres Walk,Gold
18216,Jacques Carette,M,25.0,176.0,63.0,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
18290,John Wesley Carlos,M,23.0,193.0,85.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,Bronze
18481,Henry William Carr,M,21.0,191.0,84.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,Gold
18481,Henry William Carr,M,21.0,191.0,84.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
18655,"Michael D'Andrea ""Mike"" Carter",M,23.0,189.0,127.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,Silver
18683,"Edward Julius ""Ed"" Caruthers, Jr.",M,23.0,196.0,93.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,Silver
18740,Alejandro Francisco Casaas Ramrez,M,22.0,188.0,79.0,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 110 metres Hurdles,Silver
